date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:26	111/111	---M--	200	added ('OK')	text/plain	etag:%226f-69d0e72d-8c0c1de55c987c24;;;%22	https://designflash.in/robots.txt		(from )
12:28:29	646399/646399	---MCZ	200	added ('OK')	text/html	etag:%2265624-1778742238;gz%22	https://designflash.in/	E:/Raju%20wesbite/designflash.in/index.html	(from )
12:28:29	0/0	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2006:58:29%20GMT	https://designflash.in/xmlrpc.php	E:/Raju%20wesbite/designflash.in/xmlrpc.html	(from https://designflash.in/)
12:28:30	2255/2255	---M-Z	200	added ('OK')	application/json	etag:%2266720-1779173910;gz%22	https://designflash.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdesignflash.in%2F	E:/Raju%20wesbite/designflash.in/wp-json/oembed/1.0/embed1842.json	(from https://designflash.in/)
12:28:30	287867/287867	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d24f9e353a40318b122d704edb052bfb%22	https://designflash.in/feed/	E:/Raju%20wesbite/designflash.in/feed/index.html	(from https://designflash.in/)
12:28:30	2406/2406	---M-Z	200	added ('OK')	text/xml	etag:%2266721-1779173911;gz%22	https://designflash.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdesignflash.in%2F&format=xml	E:/Raju%20wesbite/designflash.in/wp-json/oembed/1.0/embed7b2a	(from https://designflash.in/)
12:28:32	742/742	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d24f9e353a40318b122d704edb052bfb%22	https://designflash.in/comments/feed/	E:/Raju%20wesbite/designflash.in/comments/feed/index.html	(from https://designflash.in/)
12:28:32	1468410/1468410	---MCZ	200	added ('OK')	text/css	etag:%221667fa-6a055c16-7ee48751fab75ce2;gz%22	https://designflash.in/wp-content/litespeed/css/7a25a2697ed50647daa872cadc580358.css?ver=7458e	E:/Raju%20wesbite/designflash.in/wp-content/litespeed/css/7a25a2697ed50647daa872cadc58035840f8.css	(from https://designflash.in/)
12:28:33	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202026%2006:58:33%20GMT	http://designflash.in/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	E:/Raju%20wesbite/designflash.in/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.5.delayed	(from https://designflash.in/)
12:28:33	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-69a0b4b0-25f45c67c9eb563f;;;%22	https://designflash.in/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	E:/Raju%20wesbite/designflash.in/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://designflash.in/)
12:28:35	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202026%2006:58:34%20GMT	http://designflash.in/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	E:/Raju%20wesbite/designflash.in/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://designflash.in/)
